model,stage,arm,cases,core_abs_pct,cores,mae_L,matched_reads,oracle_coverage
GPT-6 Astra,after_15,astra_multicore,8,3.842379710637336,4,0.5250950971192264,10016860,0.8327213477795677
GPT-6 Astra,after_15,astra_multicore,8,4.576493859834802,8,0.6068097383146315,21092581,0.9055972984107804
GPT-6 Astra,after_10,astra_single_core,8,4.706319915751923,4,0.5267490349845041,9974667,0.8307482765507801
GPT-6 Astra,after_10,astra_single_core,8,6.6636405912498144,8,0.5967321751263327,21113076,0.9060862471042698
DeepSeek V4.1 Flash,after_15,deepseek_multicore,8,4.15632260855805,4,0.5194898227945057,9704813,0.8190393743174792
DeepSeek V4.1 Flash,after_15,deepseek_multicore,8,5.506034445423838,8,0.6093217981478327,19861187,0.8778788145430854
DeepSeek V4.1 Flash,after_10,deepseek_single_core,8,4.351135830096371,4,0.5325664398041416,9702845,0.8201668126755668
DeepSeek V4.1 Flash,after_10,deepseek_single_core,8,8.698317360987529,8,0.6495504935235358,19855717,0.8773441783729822
Queued FixedLat,baseline,fixedlat,8,27.492089760556446,4,0.5976214472026882,9868798,0.8132931557361791
Queued FixedLat,baseline,fixedlat,8,26.020686718004317,8,0.6471073703524819,20868808,0.8905939906547216
Gemini 3.8 Flash,after_15,gemini_multicore,8,4.396764748639776,4,0.49935208790381036,10055520,0.8299131362457387
Gemini 3.8 Flash,after_15,gemini_multicore,8,5.110923580404723,8,0.6228073527614448,21083190,0.904027134433737
Gemini 3.8 Flash,after_10,gemini_single_core,8,4.5055222275316344,4,0.496093756473034,10056699,0.8303352427278744
Gemini 3.8 Flash,after_10,gemini_single_core,8,5.230132976515064,8,0.6193433775281532,21083735,0.90384300946376
M/D/1,baseline,md1,8,22.41848501908029,4,0.5569259737420791,9458738,0.7955324200198246
M/D/1,baseline,md1,8,17.193215348326476,8,0.6363482170751642,19300180,0.8563942040859578
MeSS,baseline,mess,8,4.800559700059077,4,0.4610252710734385,9586720,0.804991740913955
MeSS,baseline,mess,8,6.442962644284883,8,0.5745343325679003,19662232,0.8685646940885237
WMG1,baseline,wmg1,8,28.541186609077283,4,0.6278162980143613,9483793,0.7936638045959125
WMG1,baseline,wmg1,8,25.305295970764565,8,0.6458278024439579,20494791,0.8798766120277786
