campaign,core_abs_pct,cores,kind,mae_L,promoted,round,split,stage
astra,23.669059815495295,1,retained,0.5425008952265906,,0,training,single_core
astra,24.90287930451552,1,retained,0.5308634367491337,,0,validation,single_core
astra,4.265762707772138,1,submitted,0.22524536791424385,True,1,training,single_core
astra,7.681125601389851,1,submitted,0.2598071846946882,True,1,validation,single_core
astra,4.265762707772138,1,retained,0.22524536791424385,True,1,training,single_core
astra,7.681125601389851,1,retained,0.2598071846946882,True,1,validation,single_core
astra,3.466275073665419,1,submitted,0.20609310099752173,True,2,training,single_core
astra,6.052582678654991,1,submitted,0.2148519828529194,True,2,validation,single_core
astra,3.466275073665419,1,retained,0.20609310099752173,True,2,training,single_core
astra,6.052582678654991,1,retained,0.2148519828529194,True,2,validation,single_core
astra,0.7366271746736571,1,submitted,0.18115098024504808,True,3,training,single_core
astra,2.649314679892918,1,submitted,0.17393238170573314,True,3,validation,single_core
astra,0.7366271746736571,1,retained,0.18115098024504808,True,3,training,single_core
astra,2.649314679892918,1,retained,0.17393238170573314,True,3,validation,single_core
astra,0.7147262190452507,1,submitted,0.1793544294363825,True,4,training,single_core
astra,2.6486185150615844,1,submitted,0.1739352715264507,True,4,validation,single_core
astra,0.7147262190452507,1,retained,0.1793544294363825,True,4,training,single_core
astra,2.6486185150615844,1,retained,0.1739352715264507,True,4,validation,single_core
astra,0.7560455306855897,1,submitted,0.17590393954864408,True,5,training,single_core
astra,2.650609490737255,1,submitted,0.170445151508439,True,5,validation,single_core
astra,0.7560455306855897,1,retained,0.17590393954864408,True,5,training,single_core
astra,2.650609490737255,1,retained,0.170445151508439,True,5,validation,single_core
astra,0.7781667611681033,1,submitted,0.1753637780916081,False,6,training,single_core
astra,2.6416585208060477,1,submitted,0.17025542839367208,False,6,validation,single_core
astra,0.7560455306855897,1,retained,0.17590393954864408,False,6,training,single_core
astra,2.650609490737255,1,retained,0.170445151508439,False,6,validation,single_core
astra,0.6962508214543338,1,submitted,0.176789512830727,True,7,training,single_core
astra,2.641658415724251,1,submitted,0.17096348408690093,True,7,validation,single_core
astra,0.6962508214543338,1,retained,0.176789512830727,True,7,training,single_core
astra,2.641658415724251,1,retained,0.17096348408690093,True,7,validation,single_core
astra,0.6753133023389184,1,submitted,0.17288798553117185,True,8,training,single_core
astra,2.1199131365822894,1,submitted,0.16164529903154765,True,8,validation,single_core
astra,0.6753133023389184,1,retained,0.17288798553117185,True,8,training,single_core
astra,2.1199131365822894,1,retained,0.16164529903154765,True,8,validation,single_core
astra,1.0054983978048582,1,submitted,0.16203677048592913,False,9,training,single_core
astra,2.5502237025196592,1,submitted,0.1473495617756397,False,9,validation,single_core
astra,0.6753133023389184,1,retained,0.17288798553117185,False,9,training,single_core
astra,2.1199131365822894,1,retained,0.16164529903154765,False,9,validation,single_core
astra,0.3894363407491835,1,submitted,0.17240007477170177,True,10,training,single_core
astra,2.154533893784704,1,submitted,0.15850632606951906,True,10,validation,single_core
astra,0.3894363407491835,1,retained,0.17240007477170177,True,10,training,single_core
astra,2.154533893784704,1,retained,0.15850632606951906,True,10,validation,single_core
deepseek,23.669059815495295,1,retained,0.5425008952265906,,0,training,single_core
deepseek,24.90287930451552,1,retained,0.5308634367491337,,0,validation,single_core
deepseek,7.559882052885213,1,submitted,0.2407031733282749,True,1,training,single_core
deepseek,9.908721178598652,1,submitted,0.2440552027608685,True,1,validation,single_core
deepseek,7.559882052885213,1,retained,0.2407031733282749,True,1,training,single_core
deepseek,9.908721178598652,1,retained,0.2440552027608685,True,1,validation,single_core
deepseek,3.409739441699735,1,submitted,0.2785853963710827,True,2,training,single_core
deepseek,6.3640463589366165,1,submitted,0.21946912860387974,True,2,validation,single_core
deepseek,3.409739441699735,1,retained,0.2785853963710827,True,2,training,single_core
deepseek,6.3640463589366165,1,retained,0.21946912860387974,True,2,validation,single_core
deepseek,4.544658549721267,1,submitted,0.17581254132474555,True,3,training,single_core
deepseek,7.480367083820079,1,submitted,0.18150763196204403,True,3,validation,single_core
deepseek,4.544658549721267,1,retained,0.17581254132474555,True,3,training,single_core
deepseek,7.480367083820079,1,retained,0.18150763196204403,True,3,validation,single_core
