batch,arm,pattern,read_percent,interval,n,median,oracle_relative_speedup
batch_a,oracle,streaming,100,4,5,81278.8889608881,1.0
batch_a,astra_single_core,streaming,100,4,5,5339701.241750514,65.69604124780804
batch_a,deepseek_single_core,streaming,100,4,5,3315707.5866312045,40.79420411648027
batch_a,fixedlat,streaming,100,4,5,2372355.305363338,29.187841217969034
batch_a,md1,streaming,100,4,5,6112540.8303363,75.20453230208021
batch_a,wmg1,streaming,100,4,5,3833403.3538956554,47.16357965646298
batch_a,mess,streaming,100,4,5,4162419.3305131285,51.21156777273506
batch_a,oracle,streaming,50,256,5,173065.82303175394,1.0
batch_a,astra_single_core,streaming,50,256,5,5763688.960127572,33.30344986179077
batch_a,deepseek_single_core,streaming,50,256,5,4379679.741454821,25.306439276871217
batch_a,fixedlat,streaming,50,256,5,12115780.844289448,70.00677910893161
batch_a,md1,streaming,50,256,5,12106128.501411358,69.95100643984536
batch_a,wmg1,streaming,50,256,5,7579946.5643177405,43.798055742796656
batch_a,mess,streaming,50,256,5,11364853.100306809,65.667807203168
batch_a,oracle,streaming,50,16,5,552554.5163094004,1.0
batch_a,astra_single_core,streaming,50,16,5,5039323.702359961,9.120047983714633
batch_a,deepseek_single_core,streaming,50,16,5,3936711.8797789854,7.124567374949554
batch_a,fixedlat,streaming,50,16,5,11091692.343065592,20.07348056287508
batch_a,md1,streaming,50,16,5,11296702.65584508,20.444503342941715
batch_a,wmg1,streaming,50,16,5,6559075.750876039,11.870459035762028
batch_a,mess,streaming,50,16,5,9167088.361898404,16.59037812798427
batch_a,oracle,random,100,4,5,71791.10999387036,1.0
batch_a,astra_single_core,random,100,4,5,4937482.636663404,68.77568318814092
batch_a,deepseek_single_core,random,100,4,5,3405245.762845546,47.43269414745491
batch_a,fixedlat,random,100,4,5,2372552.4809107017,33.04799829830287
batch_a,md1,random,100,4,5,6138791.630580701,85.5090780892626
batch_a,wmg1,random,100,4,5,3814213.49326479,53.12932887638113
batch_a,mess,random,100,4,5,4153495.672296336,57.85529256548573
batch_a,oracle,random,50,16,5,140226.49278280954,1.0
batch_a,astra_single_core,random,50,16,5,4565842.676709416,32.560485441087394
batch_a,deepseek_single_core,random,50,16,5,3550198.5388534497,25.317602033676984
batch_a,fixedlat,random,50,16,5,11105857.250881596,79.19942252340971
batch_a,md1,random,50,16,5,11340284.064090993,80.87119515750454
batch_a,wmg1,random,50,16,5,6559240.234702839,46.776041420804475
batch_a,mess,random,50,16,5,9176817.972469103,65.44282603347044
batch_a,oracle,random,75,16,5,183231.00638065644,1.0
batch_a,astra_single_core,random,75,16,5,4770069.235122212,26.033089755630925
batch_a,deepseek_single_core,random,75,16,5,3612652.1450839224,19.71637997544343
batch_a,fixedlat,random,75,16,5,9178531.457509272,50.09267611858864
batch_a,md1,random,75,16,5,9530652.56866107,52.01440933452851
batch_a,wmg1,random,75,16,5,5624301.239626139,30.695139161883098
batch_a,mess,random,75,16,5,7880455.581872004,43.008308132634575
batch_a,oracle,streaming,75,16,5,752448.6036862353,1.0
batch_a,astra_single_core,streaming,75,16,5,5222670.123170418,6.940899481485685
batch_a,deepseek_single_core,streaming,75,16,5,4010430.642432601,5.32983996885044
batch_a,fixedlat,streaming,75,16,5,9169812.190398943,12.186629286673083
batch_a,md1,streaming,75,16,5,9521135.60808535,12.653536150431323
batch_a,wmg1,streaming,75,16,5,5711797.74657607,7.590947366496598
batch_a,mess,streaming,75,16,5,7883332.580842961,10.476905056667823
batch_a,oracle,random,75,1,5,60549.23574133291,1.0
batch_a,astra_single_core,random,75,1,5,4440257.660372701,73.33300917853921
batch_a,deepseek_single_core,random,75,1,5,2785198.367863284,45.99890211268209
batch_a,fixedlat,random,75,1,5,2580106.2167187645,42.611705748706896
batch_a,md1,random,75,1,5,6942505.325568065,114.65884318055697
batch_a,wmg1,random,75,1,5,3927301.255189045,64.86128531772927
batch_a,mess,random,75,1,5,4171690.045475418,68.89748473947598
batch_a,oracle,random,100,16,5,302300.31787798024,1.0
batch_a,astra_single_core,random,100,16,5,5003801.287762287,16.55241821406886
batch_a,deepseek_single_core,random,100,16,5,3820610.995579528,12.638461720446058
batch_a,fixedlat,random,100,16,5,8071743.255488645,26.701074322874856
batch_a,md1,random,100,16,5,8577256.233786006,28.373295450017054
batch_a,wmg1,random,100,16,5,5063744.486669693,16.750708441906472
batch_a,mess,random,100,16,5,6827931.781991545,22.586584856809694
batch_a,oracle,random,100,1,5,71974.77618990299,1.0
batch_a,astra_single_core,random,100,1,5,4938834.7345330985,68.61896619868816
batch_a,deepseek_single_core,random,100,1,5,3400219.7334879073,47.241824337411536
batch_a,fixedlat,random,100,1,5,1868505.604240997,25.96056150714535
batch_a,md1,random,100,1,5,6184682.225844472,85.92846762769223
batch_a,wmg1,random,100,1,5,3384320.465349804,47.02092378058099
batch_a,mess,random,100,1,5,4024004.59743491,55.90853921959704
batch_a,oracle,random,75,256,5,127693.06385959263,1.0
batch_a,astra_single_core,random,75,256,5,5857261.219673483,45.869846353706
batch_a,deepseek_single_core,random,75,256,5,4375685.632198277,34.267214678235355
batch_a,fixedlat,random,75,256,5,10210234.966197332,79.9591979202895
batch_a,md1,random,75,256,5,10212948.618857715,79.98044929118123
batch_a,wmg1,random,75,256,5,6580842.321967663,51.53641179135427
batch_a,mess,random,75,256,5,9641040.741169738,75.50167918102998
batch_a,oracle,streaming,100,16,5,1376990.7926315423,1.0
batch_a,astra_single_core,streaming,100,16,5,5549838.968591909,4.0304110951865635
batch_a,deepseek_single_core,streaming,100,16,5,4138266.139288016,3.005296884650514
batch_a,fixedlat,streaming,100,16,5,8026238.19644957,5.828824883506135
batch_a,md1,streaming,100,16,5,8566032.59254449,6.2208350545134
batch_a,wmg1,streaming,100,16,5,5054840.525953366,3.6709326983175767
batch_a,mess,streaming,100,16,5,6831235.548563892,4.96098854481724
batch_a,oracle,streaming,50,1,5,76518.15759285951,1.0
batch_a,astra_single_core,streaming,50,1,5,4523636.491482556,59.118471141870394
batch_a,deepseek_single_core,streaming,50,1,5,2380325.64574381,31.10798430888953
batch_a,fixedlat,streaming,50,1,5,3510509.9968733503,45.87813020214358
batch_a,md1,streaming,50,1,5,8907657.664057529,116.41233851256202
batch_a,wmg1,streaming,50,1,5,4786523.062601564,62.55408145174984
batch_a,mess,streaming,50,1,5,5811276.611645817,75.94637396481318
batch_a,oracle,random,75,4,5,59412.64154354317,1.0
batch_a,astra_single_core,random,75,4,5,4464596.342562495,75.14556206511065
