split,model,workload,core_signed_error_pct,matched,n_oracle,n_model,coverage_oracle,coverage_model,match_mode,matcher_schema_version,legacy_fallback_reason,stable_eligible_oracle,stable_eligible_model,stable_coverage_oracle,stable_coverage_model,L_oracle_mean_lat,normalization,bulk_mae_over_L,signed_mean_over_L,paired_tail_p99_over_L,extreme_min_cyc,extreme_max_cyc,extreme_min_over_L,extreme_max_over_L
training,seed,429.mcf,-67.8037,1477776,1477776,1477776,1.0,1.0,stable_id,4,,1477776,1477776,1.0,1.0,430.65,full_oracle_read_mean_latency,0.66042,-0.66039,2.7795,-3235,111,-7.51187,0.25775
training,seed,519.lbm,-68.4904,869569,869569,869569,1.0,1.0,stable_id,4,,869569,869569,1.0,1.0,282.6,full_oracle_read_mean_latency,0.59775,-0.59775,3.85,-2133,0,-7.54787,0.0
training,fixedlat,429.mcf,-40.2866,1477776,1477776,1477776,1.0,1.0,stable_id,4,,1477776,1477776,1.0,1.0,430.65,full_oracle_read_mean_latency,0.40232,-0.29017,2.0991,-2859,485,-6.63877,1.1262
training,fixedlat,519.lbm,-51.6286,869569,869569,869569,1.0,1.0,stable_id,4,,869569,869569,1.0,1.0,282.6,full_oracle_read_mean_latency,0.43292,-0.34402,2.5124,-1692,480,-5.98734,1.69854
training,md1,429.mcf,-44.8168,1477776,1477776,1477776,1.0,1.0,stable_id,4,,1477776,1477776,1.0,1.0,430.65,full_oracle_read_mean_latency,0.40091,-0.36732,2.3128,-3032,314,-7.04049,0.72913
training,md1,519.lbm,-58.6299,869569,869569,869569,1.0,1.0,stable_id,4,,869569,869569,1.0,1.0,282.6,full_oracle_read_mean_latency,0.49276,-0.47456,3.4962,-2090,202,-7.39571,0.7148
training,wmg1,429.mcf,-39.1445,1477776,1477776,1477776,1.0,1.0,stable_id,4,,1477776,1477776,1.0,1.0,430.65,full_oracle_read_mean_latency,0.39462,-0.27887,2.0759,-2888,1070,-6.70611,2.48461
training,wmg1,519.lbm,-58.464,869569,869569,869569,1.0,1.0,stable_id,4,,869569,869569,1.0,1.0,282.6,full_oracle_read_mean_latency,0.48931,-0.46186,2.9618,-2029,645,-7.17986,2.28241
training,mess,429.mcf,-13.2727,1477776,1477776,1477776,1.0,1.0,stable_id,4,,1477776,1477776,1.0,1.0,430.65,full_oracle_read_mean_latency,0.30502,-0.0307,1.925,-2864,539,-6.65039,1.25159
training,mess,519.lbm,-19.1296,869569,869569,869569,1.0,1.0,stable_id,4,,869569,869569,1.0,1.0,282.6,full_oracle_read_mean_latency,0.32021,0.00509,2.8391,-1842,295,-6.51814,1.04389
training,pro,429.mcf,3.1599,1477776,1477776,1477776,1.0,1.0,stable_id,4,,1477776,1477776,1.0,1.0,430.65,full_oracle_read_mean_latency,0.33925,0.02386,2.0063,-2669,3029,-6.19758,7.03353
training,pro,519.lbm,6.0445,869569,869569,869569,1.0,1.0,stable_id,4,,869569,869569,1.0,1.0,282.6,full_oracle_read_mean_latency,0.4619,0.20667,3.0078,-1506,1845,-5.32916,6.52875
test,seed,433.milc,-65.4992,414393,414393,414393,1.0,1.0,stable_id,4,,414393,414393,1.0,1.0,443.52,full_oracle_read_mean_latency,0.64608,-0.64608,1.6933,-3068,0,-6.91737,0.0
test,seed,450.soplex,-53.4974,492627,492627,492627,1.0,1.0,stable_id,4,,492627,492627,1.0,1.0,225.99,full_oracle_read_mean_latency,0.5568,-0.5568,7.0965,-2619,0,-11.58899,0.0
test,seed,459.GemsFDTD,-49.6623,189361,189361,189361,1.0,1.0,stable_id,4,,189361,189361,1.0,1.0,335.95,full_oracle_read_mean_latency,0.53492,-0.53492,1.4139,-1037,0,-3.0868,0.0
test,seed,549.fotonik3d,-61.6157,511476,511476,511476,1.0,1.0,stable_id,4,,511476,511476,1.0,1.0,310.33,full_oracle_read_mean_latency,0.49429,-0.49429,2.0462,-1565,107,-5.043,0.34479
test,fixedlat,433.milc,-58.9715,414393,414393,414393,1.0,1.0,stable_id,4,,414393,414393,1.0,1.0,443.52,full_oracle_read_mean_latency,0.5856,-0.57747,1.6121,-3043,199,-6.861,0.44868
test,fixedlat,450.soplex,-44.1239,492627,492627,492627,1.0,1.0,stable_id,4,,492627,492627,1.0,1.0,225.99,full_oracle_read_mean_latency,0.45473,-0.39191,5.7348,-2594,459,-11.47837,2.03106
test,fixedlat,459.GemsFDTD,-44.1358,189361,189361,189361,1.0,1.0,stable_id,4,,189361,189361,1.0,1.0,335.95,full_oracle_read_mean_latency,0.4703,-0.45634,1.2859,-885,248,-2.63434,0.73821
test,fixedlat,549.fotonik3d,-50.9306,511476,511476,511476,1.0,1.0,stable_id,4,,511476,511476,1.0,1.0,310.33,full_oracle_read_mean_latency,0.41106,-0.3581,1.84,-1429,317,-4.60476,1.02149
test,md1,433.milc,-61.6059,414393,414393,414393,1.0,1.0,stable_id,4,,414393,414393,1.0,1.0,443.52,full_oracle_read_mean_latency,0.60216,-0.5949,1.6166,-3038,55,-6.84973,0.12401
test,md1,450.soplex,-48.2633,492627,492627,492627,1.0,1.0,stable_id,4,,492627,492627,1.0,1.0,225.99,full_oracle_read_mean_latency,0.48304,-0.45331,6.3764,-2614,202,-11.56687,0.89384
test,md1,459.GemsFDTD,-47.9564,189361,189361,189361,1.0,1.0,stable_id,4,,189361,189361,1.0,1.0,335.95,full_oracle_read_mean_latency,0.51513,-0.51115,1.3901,-1031,201,-3.06894,0.59831
test,md1,549.fotonik3d,-56.9733,511476,511476,511476,1.0,1.0,stable_id,4,,511476,511476,1.0,1.0,310.33,full_oracle_read_mean_latency,0.44563,-0.42801,1.9785,-1541,131,-4.96567,0.42213
test,wmg1,433.milc,-61.6013,414393,414393,414393,1.0,1.0,stable_id,4,,414393,414393,1.0,1.0,443.52,full_oracle_read_mean_latency,0.60191,-0.59478,1.6144,-3036,58,-6.84522,0.13077
test,wmg1,450.soplex,-47.5063,492627,492627,492627,1.0,1.0,stable_id,4,,492627,492627,1.0,1.0,225.99,full_oracle_read_mean_latency,0.48992,-0.42817,6.1186,-2614,1144,-11.56687,5.06216
