stage,cores,mix,programs,site,model,cycle_mae_pct,per_core_signed_pct,worst_core_abs_pct,makespan_signed_pct,request_mae_over_L,signed_drift_over_L,paired_p99_over_L,negative_extreme_over_L,positive_extreme_over_L,negative_extreme_cycles,positive_extreme_cycles,oracle_mean_read_latency,matched_reads,oracle_reads,model_reads,coverage_oracle,coverage_model,physical_address_mismatches,low_traffic,wall_seconds,cpu_user_seconds,cpu_system_seconds,max_rss_kib
validation,4,validation-c4-01,"['bwaves', 'tango', 'fotonik', 'delta']",cloud,astra_xhigh,6.188611052696274,"[-3.9636162411179336, 0.7732783193303857, -12.607179919667852, 7.410369730668926]",12.607179919667852,-8.628509639196011,0.5657139052684046,0.09224409938739189,3.312106622051543,-16.105975476508178,19.133956541921535,-2234,2654,138.706283469664,544560,679720,679414,0.8011534161125169,0.8015142461003159,0,False,743.1132528859998,726.05,0.36,118684.0
validation,4,validation-c4-02,"['gms_subgraph', 'gms_triangle', 'sd14', 'xz']",local,astra_xhigh,1.3299671034930698,"[1.354137501202315, -0.6337645094090061, 3.2686753002898965, -0.06329110307106148]",3.2686753002898965,-0.6337645094090061,0.41314711292160616,0.06856333772737093,3.095981428721598,-16.27057317001997,14.270092862230626,-1708,1498,104.97478989536445,396815,407892,407877,0.9728433016582821,0.9728790787418756,0,False,558.2989301730122,484.77,0.9,112820.0
validation,4,validation-c4-03,"['ligra_components', 'rwkv', 'gap_pr', 'merced']",cloud,astra_xhigh,1.6538715056065727,"[-0.13448672455656774, 4.045643828611216, 1.3733107588433513, -1.0620447104151558]",4.045643828611216,1.3733107588433513,0.5598889709737811,0.05540335391447843,3.97641446433992,-21.120183189005438,12.254586394647571,-2337,1356,110.65244932234182,3279340,3408208,3416227,0.9621889274363536,0.9599303559160443,0,False,1503.8397134789998,1470.13,0.72,120528.0
validation,4,validation-c4-04,"['vit_large', 'yankee', 'xz', 'gap_pr']",cloud,astra_xhigh,1.9205619379598875,"[6.075047426193695, -0.7813683971054874, -0.3373682724320839, -0.48846365610828396]",6.075047426193695,-0.48846365610828396,0.4574774320032923,0.0013176929873078,3.1513478528701007,-16.20817201462391,15.392120504514294,-1867,1773,115.18880712244969,756413,813428,814453,0.9299077484423944,0.9287374470963947,0,False,1038.9103939709998,1012.13,0.7,116032.0
validation,4,validation-c4-05,"['gms_triangle', 'vit_large', 'rwkv', 'fotonik']",local,astra_xhigh,2.8806287788234686,"[0.9433261490185093, 1.3912038769385258, 6.699243089885994, 2.4887419994508457]",6.699243089885994,6.699243089885994,0.43947328809165875,0.14003074903359908,3.4114066573780626,-48.03765967167183,12.559030434939979,-3802,994,79.1462370562167,2299665,2504967,2504182,0.9180420340866766,0.9183298178806493,0,False,951.9584260639967,830.73,1.95,117716.0
validation,4,validation-c4-06,"['gms_subgraph', 'delta', 'ligra_components', 'yankee']",cloud,astra_xhigh,2.3683665787556443,"[-1.2033919675127056, 0.2994436269090535, -6.039373237755003, -1.9312574828458158]",6.039373237755003,-1.9312574828458158,0.6205220398474989,0.02706026347282142,3.3480460345358916,-15.022419833028247,20.24995247447664,-2230,3006,148.4447928353812,982884,1102529,1099192,0.8914813125096936,0.8941877306239492,0,False,743.0655651719999,725.63,0.57,120324.0
validation,4,validation-c4-07,"['tango', 'merced', 'sd14', 'bwaves']",cloud,astra_xhigh,2.1252053607946157,"[0.5296937986632352, 0.06907846562190825, 6.877167933761888, -1.0248812451314322]",6.877167933761888,0.06907846562190825,0.5300566583027942,0.10757486714192818,3.621844786494168,-12.680301598575122,17.555566130713768,-1649,2283,130.04422546111184,537978,581475,582103,0.9251954082290726,0.9241972640580791,0,False,615.2489417889997,604.62,0.22,117948.0
validation,4,validation-c4-08,"['rwkv', 'bwaves', 'xz', 'gms_subgraph']",cloud,astra_xhigh,1.543090466364279,"[3.247317075987866, -1.3903608557415288, -1.3984152972319857, -0.13626863649573592]",3.247317075987866,3.247317075987866,0.2381235216915249,0.0710652288874224,3.4003055064048406,-38.26714785635448,12.531771100217838,-2791,914,72.93462294281069,2147921,2194256,2194254,0.978883503109938,0.9788843953343597,0,False,719.5111179849996,705.1,0.44,115336.0
validation,8,validation-c8-01,"['rwkv', 'xz', 'gms_subgraph', 'yankee', 'tango', 'delta', 'sd14', 'ligra_components']",cloud,astra_xhigh,3.180996729084576,"[7.722391715117681, 6.257080479730653, 1.4184909513268982, -0.6421320550342973, 0.17478067815944348, -0.11818127975025677, -8.907080921403292, -0.20783575215408664]",8.907080921403292,7.722391715117681,0.6435433958969665,0.03457443813215539,3.7321167638609256,-24.7529068293006,11.358898931123758,-3807,1747,153.8001183559405,3353705,3602692,3594482,0.9308886243953133,0.9330148266147945,0,False,2007.2884481299998,1987.31,0.95,130984.0
validation,8,validation-c8-02,"['gap_pr', 'bwaves', 'vit_large', 'fotonik', 'merced', 'gms_triangle', 'xz', 'delta']",local,astra_xhigh,1.8401143936174806,"[0.041811160243492504, -2.7146154626284895, 1.4005714964762856, -6.174057023736889, -0.9121948980404037, -0.8378151723385238, -0.8916832268595056, 1.7481667086162573]",6.174057023736889,0.041811160243492504,0.5959960386993082,-0.005800543663688638,3.3023854048482963,-12.703175857316447,13.040753032034273,-1731,1777,136.26513711553662,1288198,1437328,1437213,0.8962449767902664,0.8963166907062489,0,False,2349.5599334459985,2050.16,3.26,122748.0
validation,8,validation-c8-03,"['vit_large', 'ligra_components', 'bwaves', 'rwkv', 'gap_pr', 'yankee', 'tango', 'fotonik']",cloud,astra_xhigh,1.5928053077336897,"[-3.6252280088829303, -0.6836421441794123, 0.9263177032992544, 3.1040074669983686, -0.7909531558382198, -1.505246809899028, -1.1093026418538028, 0.9977445309185022]",3.6252280088829303,-0.7909531558382198,0.6723051467532436,0.012903417814285226,3.716704474230884,-27.078846883682154,14.025055559554172,-4182,2166,154.43789087341432,3583647,3879293,3881283,0.9237886903618778,0.9233150481425858,0,False,2840.846289189,2816.98,1.77,126828.0
validation,8,validation-c8-04,"['gms_triangle', 'gms_subgraph', 'merced', 'sd14', 'gap_pr', 'ligra_components', 'fotonik', 'yankee']",cloud,astra_xhigh,3.5444954584765256,"[-1.8137356075291204, -0.010407521822124432, -3.1397938693901155, -11.680283008566413, -1.5680690758763502, -3.9795971015566085, -2.847061091039807, -3.317016392031664]",11.680283008566413,-1.5680690758763502,0.6513330529882497,-0.07960896237949185,3.1417568022477633,-13.269430376218024,12.741266754349683,-2437,2340,183.65520831758414,1888540,1984230,1982504,0.951774743855299,0.9526033743185386,0,False,2331.180101547,2327.92,0.63,123788.0
validation,8,validation-c8-05,"['delta', 'gms_subgraph', 'vit_large', 'bwaves', 'sd14', 'merced', 'rwkv', 'tango']",cloud,astra_xhigh,3.9047726360505797,"[2.4811924010968847, 5.516773408317754, 1.0684994497103397, 3.4834741877032673, -4.191918869098552, 0.42139543026300347, 12.83430675924484, 1.2406205829699999]",12.83430675924484,12.83430675924484,0.576265632808099,0.11897233742715022,3.7243835583210516,-29.168844682425934,12.870546721454607,-3540,1562,121.3623658578713,3024202,3195864,3183377,0.946286199913388,0.9499980680893277,0,False,1938.843929319,1935.21,0.88,127884.0
validation,8,validation-c8-06,"['gms_triangle', 'xz', 'rwkv', 'tango', 'merced', 'gap_pr', 'yankee', 'vit_large']",cloud,astra_xhigh,2.1851019841279995,"[1.1829976021321393, 3.9719147038267533, 7.1316353004848025, 1.1840345434748456, 1.0013100684920337, 1.4546415580839123, 0.7338362991882293, -0.8204457973412778]",7.1316353004848025,1.4546415580839123,0.5721588103084893,0.07578934962279124,3.6308664529334744,-26.913073890308713,10.751996329871336,-3254,1300,120.90777936636037,3391734,3661545,3660866,0.9263122534340013,0.9264840614215325,0,False,2493.4936723130004,2490.67,0.72,132204.0
validation,8,validation-c8-07,"['delta', 'ligra_components', 'gms_triangle', 'bwaves', 'gms_subgraph', 'xz', 'fotonik', 'sd14']",local,astra_xhigh,3.9123898369713603,"[-1.685855391742183, -4.991499129186368, -2.3324153829990015, -1.8010511769543947, -2.481717807103416, -1.3956823083757586, -7.071459845423796, -9.539437653985964]",9.539437653985964,-3.883597604740095,0.6605159698904575,-0.09571510334907457,3.414887331371074,-17.085470218507616,23.46838563433368,-3097,4254,181.26513115484607,1275907,1366667,1366856,0.9335902600999365,0.9334611692819141,0,False,1637.335406646016,1435.73,2.37,119248.0
validation,8,validation-c8-08,"['gap_pr', 'sd14', 'delta', 'vit_large', 'yankee', 'xz', 'ligra_components', 'bwaves']",cloud,astra_xhigh,2.806370419079874,"[-0.45476469826417193, -10.472342658867356, 0.8419526979279874, -3.5929196548598195, -1.2387894197097784, 1.3922548792881804, -2.9704906048873654, -1.4874487388343351]",10.472342658867356,-0.45476469826417193,0.6254118980943926,-0.06763319163218104,3.297243843787127,-16.339069493675716,16.81866859822657,-2998,3086,183.486581115309,1659678,1769931,1770212,0.9377077411492313,0.9375588912514433,0,False,2174.95305893,2166.47,0.74,122092.0
test,4,test-c4_non_google_01,"['ligra_radii', 'gap_bc', 'biogpt', 'cam4']",local,astra_xhigh,12.68477585987607,"[-5.032507475370038, 7.7916308095665405, 35.49932244624726, -2.415642708320432]",35.49932244624726,11.77175104390524,0.798203738832936,0.3615680002797832,4.483729885499678,-21.860149740006328,33.344791201110766,-2779,4239,127.12630210918196,2552933,3778005,3828798,0.6757357388357083,0.6667713992746549,0,False,1403.8821533720184,1262.35,2.9,118088.0
test,4,test-c4_non_google_02,"['pop2', 'bark', 'xalancbmk', 'ligra_cf']",cloud,astra_xhigh,3.233425243051392,"[-1.4797248255347972, 5.337588968409056, 0.13836360542692466, -5.978023572834791]",5.978023572834791,-5.978023572834791,0.42496433141391915,0.014116713456572163,2.4252217224054915,-8.04529272488021,10.560006023758229,-899,1180,111.74236050104511,461562,528176,528898,0.873879161491624,0.8726862268339075,0,False,566.0896830729998,564.21,0.29,113332.0
test,4,test-c4_google_03,"['sierra_a_4_0006', 'sierra_a_3_0006', 'sierra_a_6_0001', 'sierra_a_6_0011']",cloud,astra_xhigh,1.9116565143138593,"[1.032225830832281, 3.09402923798404, 2.131921531271848, 1.388449457167268]",3.09402923798404,1.032225830832281,0.3867702009142406,0.06113290715011256,2.7913020678318423,-10.841355545225332,22.02969615413142,-1406,2857,129.68857945252242,847769,954998,955340,0.8877180894619675,0.8874002972763624,0,False,925.0230820750003,916.06,0.68,125952.0
