model,arm,cases,core_abs_pct,cores,mae_L,matched_reads,oracle_coverage,point
GPT-6 Astra,astra_single_core,24,1.5218627280939714,1,0.21550896947439738,7854914,0.9383664785255148,DDR5_16Gb_x16_q128
GPT-6 Astra,astra_single_core,24,1.770801998065364,1,0.1979700357957059,7855108,0.938384991770885,DDR5_16Gb_x16_q32
GPT-6 Astra,astra_single_core,24,1.5130845104872168,1,0.2070525360305257,7854969,0.9383570510144298,DDR5_16Gb_x16_q64
GPT-6 Astra,astra_single_core,24,1.5718547555349516,1,0.20921877000953587,7855161,0.9387611673059272,DDR5_16Gb_x8_q128
GPT-6 Astra,astra_single_core,24,1.7671698818498232,1,0.19298411897174372,7855248,0.9387699566704168,DDR5_16Gb_x8_q32
GPT-6 Astra,astra_single_core,24,1.5395424307536392,1,0.20097161117230208,7855246,0.9387580914046338,DDR5_16Gb_x8_q64
GPT-6 Astra,astra_single_core,24,1.4673099078643246,1,0.21418758724583953,7855189,0.9384062688224646,DDR5_8Gb_x8_q128
GPT-6 Astra,astra_single_core,24,1.680133385928609,1,0.1968666188866956,7855356,0.9384240412555044,DDR5_8Gb_x8_q32
GPT-6 Astra,astra_single_core,24,1.4469735798435992,1,0.20572459297862392,7855310,0.93840786954926,DDR5_8Gb_x8_q64
DeepSeek V4.1 Flash,deepseek_single_core,24,1.740813174020986,1,0.22263307043530287,7842809,0.9367732732513016,DDR5_16Gb_x16_q128
DeepSeek V4.1 Flash,deepseek_single_core,24,2.050108314074556,1,0.21611936271980567,7842832,0.9367702496987148,DDR5_16Gb_x16_q32
DeepSeek V4.1 Flash,deepseek_single_core,24,1.7925564302550772,1,0.2175517667362459,7842869,0.9367700316996467,DDR5_16Gb_x16_q64
DeepSeek V4.1 Flash,deepseek_single_core,24,0.6903608406809689,1,0.2025358490802286,7844780,0.9374465192827524,DDR5_16Gb_x8_q128
DeepSeek V4.1 Flash,deepseek_single_core,24,0.8973897871733988,1,0.19596124830996586,7844691,0.9374178844401018,DDR5_16Gb_x8_q32
DeepSeek V4.1 Flash,deepseek_single_core,24,0.6788657490402975,1,0.1966688025712872,7844799,0.9374369136601933,DDR5_16Gb_x8_q64
DeepSeek V4.1 Flash,deepseek_single_core,24,1.6326818115981039,1,0.221470253138436,7842936,0.9368158140743696,DDR5_8Gb_x8_q128
DeepSeek V4.1 Flash,deepseek_single_core,24,1.9198080695032471,1,0.2148852756437494,7843012,0.9368193621911495,DDR5_8Gb_x8_q32
DeepSeek V4.1 Flash,deepseek_single_core,24,1.6539441125856922,1,0.21596707167250906,7843044,0.9368138379698624,DDR5_8Gb_x8_q64
