case,arm,cohort,stage,cores,core_abs_pct,core_signed_pct,per_core_signed_pct,worst_core_pct,makespan_signed_pct,makespan_abs_pct,mae_L,drift_L,abs_drift_L,mae_cycles,p99_L,p999_L,p99_cycles,p999_cycles,min_cycles,max_cycles,min_L,max_L,L,pairs,oracle_coverage,model_coverage,populations,address_mismatches,low_traffic,tail_1L_fraction,tail_1L_count,tail_1L_share,tail_5L_fraction,tail_5L_count,tail_5L_share,oracle_recorded_reads,oracle_without_stable_id,oracle_unmatched_reads,oracle_admissions_without_recorded_latency,oracle_admitted_foreground_reads,oracle_total_admitted_reads,model_recorded_reads,model_without_stable_id,model_unmatched_reads,model_admissions_without_recorded_latency,model_admitted_foreground_reads,model_total_admitted_reads,instructions,background,model_receipt,oracle_receipt,selection_record_sha256,score_record_sha256,runtime_sha256
training-c4-03,wmg1,training,,4,36.15922758127775,-36.15922758127775,"[-35.175997590403036, -40.92892237813914, -31.185585690554948, -37.346404666013854]",40.92892237813914,-37.346404666013854,37.346404666013854,0.6403048558286306,-0.6182005957617079,0.6182005957617079,91.72005434488024,2.7226204297065495,5.061281568044227,390.0,725.0,-2712,408,-18.932683603497853,2.8482798341545443,143.24435229556957,1697308,0.8943108022308927,0.8988317307870526,"{'oracle': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 1897895, 'coverage': 0.8943108022308927, 'matched_reads': 1697308, 'recorded_reads': 1897895, 'stable_id_without_counterpart': 89651, 'total_admitted_reads': 2193389, 'unmatched_reads': 200587, 'without_stable_id': 110936}, 'model': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 1888349, 'coverage': 0.8988317307870526, 'matched_reads': 1697308, 'recorded_reads': 1888349, 'stable_id_without_counterpart': 78515, 'total_admitted_reads': 2166217, 'unmatched_reads': 191041, 'without_stable_id': 112526}}",0,False,0.1724560303728021,292711,0.4157361545765904,0.0010599136986333654,1799,0.01024715362589233,1897895,110936,200587,0,1897895,2193389,1888349,112526,191041,0,1888349,2166217,"[20000004, 20000002, 20000000, 20000000]","[{'background_instructions': 602291, 'core': 0, 'wraps': 0}, {'background_instructions': 5625344, 'core': 1, 'wraps': 1}, {'background_instructions': 12145425, 'core': 2, 'wraps': 1}, {'background_instructions': 0, 'core': 3, 'wraps': 0}]",ca5eedbed5b18f8f192673c23ed01ae5dbb6711e144ec3451aded39b48678230,015e07c8c963a95c37e92ad0225b4f047a9e07e795b270260d99775ef348e8eb,,,
training-c1-omnetpp,fixedlat,training,,1,27.73427463727974,-27.73427463727974,[-27.73427463727974],27.73427463727974,-27.73427463727974,27.73427463727974,0.588667011877712,-0.5875507393239551,0.5875507393239551,64.50319169938798,1.9256216046651184,2.19940666693978,211.0,241.0,-321,20,-2.929500166338877,0.18252337484977427,109.57500657908055,182348,0.9228324460009312,0.9228371163237936,"{'oracle': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 197596, 'coverage': 0.9228324460009312, 'matched_reads': 182348, 'recorded_reads': 197596, 'stable_id_without_counterpart': 1538, 'total_admitted_reads': 197596, 'unmatched_reads': 15248, 'without_stable_id': 13710}, 'model': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 197595, 'coverage': 0.9228371163237936, 'matched_reads': 182348, 'recorded_reads': 197595, 'stable_id_without_counterpart': 1537, 'total_admitted_reads': 197595, 'unmatched_reads': 15247, 'without_stable_id': 13710}}",0,False,0.1124553052405291,20506,0.3056822343901919,0.0,0,0.0,197596,13710,15248,0,197596,197596,197595,13710,15247,0,197595,197595,[20000000],"[{'background_instructions': 0, 'core': 0, 'wraps': 0}]",fadf0f0295de4e41717082bd6e8242cb47ce9d121f9cb8a2949da61d34b33d4b,f56b00f0d28380d611e7c178ed89d96b7b4dfb3f4d7b69ec8a71f91737968cd2,,,
test-c4_mixed_05,md1,test,,4,8.765132676395181,-2.506296386975262,"[12.51767257883984, -5.326114959242581, -3.674912947259679, -13.541830220238626]",13.541830220238626,-13.541830220238626,13.541830220238626,0.32896982572648104,-0.16082098773183895,0.16082098773183895,40.1264555757564,2.3857133133942745,5.722432621131285,291.0,698.0,-1972,164,-16.167101903826495,1.3445257161397286,121.97609761668288,2377238,0.6328212617304452,0.6315543102255063,"{'oracle': {'admissions_without_recorded_latency': 4, 'admitted_foreground_reads': 3756575, 'coverage': 0.6328212617304452, 'matched_reads': 2377238, 'recorded_reads': 3756571, 'stable_id_without_counterpart': 1289729, 'total_admitted_reads': 4244365, 'unmatched_reads': 1379333, 'without_stable_id': 89604}, 'model': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 3764107, 'coverage': 0.6315543102255063, 'matched_reads': 2377238, 'recorded_reads': 3764107, 'stable_id_without_counterpart': 1296458, 'total_admitted_reads': 4063757, 'unmatched_reads': 1386869, 'without_stable_id': 90411}}",0,False,0.06770672519958035,160955,0.3720354311271286,0.0015816674645113362,3760,0.03059534405732836,3756571,89604,1379333,4,3756575,4244365,3764107,90411,1386869,0,3764107,4063757,"[20000000, 20000001, 20000001, 20000002]","[{'background_instructions': 14317878, 'core': 0, 'wraps': 1}, {'background_instructions': 2163604, 'core': 1, 'wraps': 1}, {'background_instructions': 13964076, 'core': 2, 'wraps': 1}, {'background_instructions': 0, 'core': 3, 'wraps': 0}]",a85f45c7768710868e8d8d2200bd2aeff767a15de250e717f8fef9f36ac11cda,1156501a02fe1b57da60f8a0f8be8e1d3e43b5c83638d3d9e044fcc0d428f156,,,
test-c8-06,fixedlat,test,,8,33.532286319562004,-33.532286319562004,"[-31.14757506875676, -41.29692289044057, -29.189299139522735, -28.971429950939235, -34.71308349108442, -37.74033645522579, -35.59231691115415, -29.60732664937237]",41.29692289044057,-41.29692289044057,41.29692289044057,0.6545498238993638,-0.5104024824688043,0.5104024824688043,143.81963866220948,3.3360188176046606,5.620713833208398,733.0,1235.0,-3295,604,-14.996155530705806,2.7489159151885607,219.7229812169678,2012632,0.8619287179239009,0.8841708866125758,"{'oracle': {'admissions_without_recorded_latency': 1, 'admitted_foreground_reads': 2335034, 'coverage': 0.8619287179239009, 'matched_reads': 2012632, 'recorded_reads': 2335033, 'stable_id_without_counterpart': 176061, 'total_admitted_reads': 5356337, 'unmatched_reads': 322401, 'without_stable_id': 146340}, 'model': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 2276293, 'coverage': 0.8841708866125758, 'matched_reads': 2012632, 'recorded_reads': 2276293, 'stable_id_without_counterpart': 118561, 'total_admitted_reads': 4594754, 'unmatched_reads': 263661, 'without_stable_id': 145100}}",0,False,0.21733083842451079,437407,0.6317363107962723,0.0017424944053358986,3507,0.016294306858174824,2335033,146340,322401,1,2335034,5356337,2276293,145100,263661,0,2276293,4594754,"[20000003, 20000002, 20000000, 20000001, 20000000, 20000003, 20000001, 20000000]","[{'background_instructions': 114501646, 'core': 0, 'wraps': 5}, {'background_instructions': 0, 'core': 1, 'wraps': 0}, {'background_instructions': 27992128, 'core': 2, 'wraps': 2}, {'background_instructions': 36441516, 'core': 3, 'wraps': 2}, {'background_instructions': 14667599, 'core': 4, 'wraps': 1}, {'background_instructions': 25880016, 'core': 5, 'wraps': 2}, {'background_instructions': 11004504, 'core': 6, 'wraps': 1}, {'background_instructions': 27563383, 'core': 7, 'wraps': 2}]",37067618fb6bc8d5162aa5fc1c3e068c841cb932f8b8e65488464aa8b3cedc82,5ea62d23dfc4b211bed023a73b6982e2180cab81ce6aa0197b0394f0dab2e833,,,
test-c1-sierra_a_6_0006,fixedlat,test,,1,25.259548973673905,-25.259548973673905,[-25.259548973673905],25.259548973673905,-25.259548973673905,25.259548973673905,0.6054404695547605,-0.6014109534976517,0.6014109534976517,72.55817105679303,1.7940047145398212,2.520534902888634,215.0,302.070000000007,-957,158,-7.985407031695856,1.3183848599874035,119.84360924890294,154931,0.8969340141489226,0.896923629121897,"{'oracle': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 172734, 'coverage': 0.8969340141489226, 'matched_reads': 154931, 'recorded_reads': 172734, 'stable_id_without_counterpart': 807, 'total_admitted_reads': 172734, 'unmatched_reads': 17803, 'without_stable_id': 16996}, 'model': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 172736, 'coverage': 0.896923629121897, 'matched_reads': 154931, 'recorded_reads': 172736, 'stable_id_without_counterpart': 809, 'total_admitted_reads': 172736, 'unmatched_reads': 17805, 'without_stable_id': 16996}}",0,False,0.13923617610420122,21572,0.34798759241418636,0.00018718009952817705,29,0.0019670844930974574,172734,16996,17803,0,172734,172734,172736,16996,17805,0,172736,172736,[20000000],"[{'background_instructions': 0, 'core': 0, 'wraps': 0}]",d7e371bb384e7335f8d409b4983cb712dd9ce5f53076c825b8f94ba05ce5bcb0,87c7ac56308c7c12d40fd203ea263d99cc34c15ef177e713059898a8c94512f4,,,
test-c1-tahoe_0006,md1,test,,1,26.83018438454625,-26.83018438454625,[-26.83018438454625],26.83018438454625,-26.83018438454625,26.83018438454625,0.5784669420810699,-0.5667292069382248,0.5667292069382248,61.67517851989942,2.044676584648804,2.6730863606647213,218.0,285.0,-1767,9,-16.57313543612127,0.0844132534946754,106.61832860840626,218323,0.8970089157319528,0.8970052302673476,"{'oracle': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 243390, 'coverage': 0.8970089157319528, 'matched_reads': 218323, 'recorded_reads': 243390, 'stable_id_without_counterpart': 2218, 'total_admitted_reads': 243390, 'unmatched_reads': 25067, 'without_stable_id': 22849}, 'model': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 243391, 'coverage': 0.8970052302673476, 'matched_reads': 218323, 'recorded_reads': 243391, 'stable_id_without_counterpart': 2220, 'total_admitted_reads': 243391, 'unmatched_reads': 25068, 'without_stable_id': 22848}}",0,False,0.14040664520000185,30654,0.3954843295004645,0.0002335988420826024,51,0.0045427775933505185,243390,22849,25067,0,243390,243390,243391,22848,25068,0,243391,243391,[20000000],"[{'background_instructions': 0, 'core': 0, 'wraps': 0}]",613e8bfef62312a44df0b2e6b1cc69cc989bf4a37e8d95814885bc2cc379717c,fd5c93b99b290e5257cf86c8880f933708a5d90fb957789560a586aa5e4708b4,,,
test-c1-ligra_radii,mess,test,,1,49.69372143412856,49.69372143412856,[49.69372143412856],49.69372143412856,49.69372143412856,49.69372143412856,1.4773259189042858,1.4701988008236007,1.4701988008236007,65.80871030631464,1.5040689310863078,1.806566376554916,67.0,80.47500000000582,-161,67,-3.6142551926103814,1.5040689310863078,44.54583072307033,60526,0.9978238649477398,0.9978238649477398,"{'oracle': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 60658, 'coverage': 0.9978238649477398, 'matched_reads': 60526, 'recorded_reads': 60658, 'stable_id_without_counterpart': 1, 'total_admitted_reads': 60658, 'unmatched_reads': 132, 'without_stable_id': 131}, 'model': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 60658, 'coverage': 0.9978238649477398, 'matched_reads': 60526, 'recorded_reads': 60658, 'stable_id_without_counterpart': 1, 'total_admitted_reads': 60658, 'unmatched_reads': 132, 'without_stable_id': 131}}",0,False,0.9814294683276609,59402,0.9994715222018419,0.0,0,0.0,60658,131,132,0,60658,60658,60658,131,132,0,60658,60658,[20000000],"[{'background_instructions': 0, 'core': 0, 'wraps': 0}]",8c5d67babb92461c23cc1222b72c70083293b9bc520426071c30ca1c7a4c1c82,1b842be9fa58b75cd81a84e232d0e8c8cab93dcfc2992c9270ccb650ea6137bf,,,
test-c8-06,wmg1,test,,8,33.12626960543126,-33.12626960543126,"[-38.16348419490835, -38.77838801535607, -28.31799170933463, -28.069774116624597, -32.80950215202026, -36.237873354057754, -33.93134030090152, -28.7018030002469]",38.77838801535607,-38.77838801535607,38.77838801535607,0.6249231881735862,-0.5145390906750975,0.5145390906750975,137.30998593711251,3.4361448939857007,5.7845565036501005,755.0,1271.0,-3266,445,-14.864171157294436,2.025277454071042,219.7229812169678,2020211,0.8651744964632192,0.8796648391578916,"{'oracle': {'admissions_without_recorded_latency': 1, 'admitted_foreground_reads': 2335034, 'coverage': 0.8651744964632192, 'matched_reads': 2020211, 'recorded_reads': 2335033, 'stable_id_without_counterpart': 168482, 'total_admitted_reads': 5356337, 'unmatched_reads': 314822, 'without_stable_id': 146340}, 'model': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 2296569, 'coverage': 0.8796648391578916, 'matched_reads': 2020211, 'recorded_reads': 2296569, 'stable_id_without_counterpart': 130131, 'total_admitted_reads': 4779152, 'unmatched_reads': 276358, 'without_stable_id': 146227}}",0,False,0.21578092585378458,435923,0.6670664753958346,0.001886931612588982,3812,0.018661375701659724,2335033,146340,314822,1,2335034,5356337,2296569,146227,276358,0,2296569,4779152,"[20000003, 20000002, 20000000, 20000001, 20000000, 20000003, 20000001, 20000000]","[{'background_instructions': 135176536, 'core': 0, 'wraps': 6}, {'background_instructions': 0, 'core': 1, 'wraps': 0}, {'background_instructions': 30561428, 'core': 2, 'wraps': 2}, {'background_instructions': 38207282, 'core': 3, 'wraps': 2}, {'background_instructions': 16251682, 'core': 4, 'wraps': 1}, {'background_instructions': 26508050, 'core': 5, 'wraps': 2}, {'background_instructions': 11469113, 'core': 6, 'wraps': 1}, {'background_instructions': 28847593, 'core': 7, 'wraps': 2}]",dc95df9e1ae6b8fd23b9f066e428d47b0c6d0529a2221e2cf32df5f51845bfaa,5ea62d23dfc4b211bed023a73b6982e2180cab81ce6aa0197b0394f0dab2e833,,,
validation-c1-sd14,md1,validation,,1,9.698551034192167,-9.698551034192167,[-9.698551034192167],9.698551034192167,-9.698551034192167,9.698551034192167,0.3658795399439585,-0.36314025538780004,0.36314025538780004,37.33797752411917,1.3130828610312375,1.5972575100603859,134.0,163.0,-236,45,-2.3125936955475526,0.44096066228660963,102.04991929813347,226376,0.9044042444387624,0.9044042444387624,"{'oracle': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 250304, 'coverage': 0.9044042444387624, 'matched_reads': 226376, 'recorded_reads': 250304, 'stable_id_without_counterpart': 23604, 'total_admitted_reads': 250304, 'unmatched_reads': 23928, 'without_stable_id': 324}, 'model': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 250304, 'coverage': 0.9044042444387624, 'matched_reads': 226376, 'recorded_reads': 250304, 'stable_id_without_counterpart': 23604, 'total_admitted_reads': 250304, 'unmatched_reads': 23928, 'without_stable_id': 324}}",0,False,0.05011131922111885,11344,0.16794476186825505,0.0,0,0.0,250304,324,23928,0,250304,250304,250304,324,23928,0,250304,250304,[20000003],"[{'background_instructions': 0, 'core': 0, 'wraps': 0}]",c4a587a44bf7f5db956718c59b235394a77eb44b0b6b544a2fdb15273f7df00a,2d696d77e498171b328223d2162e56201694ce25603a6c0321a9c8aaa15c2543,,,
test-c1-sierra_a_4_0005,wmg1,test,,1,32.14420188390428,-32.14420188390428,[-32.14420188390428],32.14420188390428,-32.14420188390428,32.14420188390428,0.6002574803334151,-0.5996452366378561,0.5996452366378561,65.28091960242382,2.0412880432075045,2.3998926994466605,222.0,261.0,-1259,43,-11.57649390269481,0.39538462098163374,108.75486227370847,325271,0.8754811134378011,0.8754811134378011,"{'oracle': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 371534, 'coverage': 0.8754811134378011, 'matched_reads': 325271, 'recorded_reads': 371534, 'stable_id_without_counterpart': 1884, 'total_admitted_reads': 371534, 'unmatched_reads': 46263, 'without_stable_id': 44379}, 'model': {'admissions_without_recorded_latency': 0, 'admitted_foreground_reads': 371534, 'coverage': 0.8754811134378011, 'matched_reads': 325271, 'recorded_reads': 371534, 'stable_id_without_counterpart': 1882, 'total_admitted_reads': 371534, 'unmatched_reads': 46263, 'without_stable_id': 44381}}",0,False,0.14138057189236053,45987,0.3844486128137011,9.530514555555215e-05,31,0.001263634389956857,371534,44379,46263,0,371534,371534,371534,44381,46263,0,371534,371534,[20000001],"[{'background_instructions': 0, 'core': 0, 'wraps': 0}]",f00c909c79a598bd3b8b1e46b7e19c3e53b3cb8f93471c245b429f98ad0d1977,eff8d36c267a435464e6f8e3e2916eea109a5a835fe632d81c04f4e52059d9b0,,,
