arm,interval,mean,median,n,oracle_relative_speedup,pattern,read_percent,standard_deviation
oracle,4,81223.80824900484,81278.8889608881,5,1.0,streaming,100,93.52279886292406
astra_single_core,4,5338233.415326313,5339701.241750514,5,65.69604124780804,streaming,100,14604.712965385945
deepseek_single_core,4,3309703.1438949853,3315707.5866312045,5,40.79420411648027,streaming,100,11860.701841026728
astra_multicore,4,5245209.85006174,5244321.940906433,5,64.52255939952666,streaming,100,12874.341615304687
deepseek_multicore,4,3145575.1851562015,3166310.3504697545,5,38.95612244396454,streaming,100,48774.167670199044
fixedlat,4,2372501.6014004983,2372355.305363338,5,29.187841217969034,streaming,100,6334.209279297952
md1,4,6112524.685269264,6112540.8303363,5,75.20453230208021,streaming,100,54774.85399871837
wmg1,4,3827496.601474778,3833403.3538956554,5,47.16357965646298,streaming,100,19166.58512116829
mess,4,4151292.8120563636,4162419.3305131285,5,51.21156777273506,streaming,100,30717.05081727738
oracle,256,171516.1402081514,173065.82303175394,5,1.0,streaming,50,3428.511087475777
astra_single_core,256,5756519.42420737,5763688.960127572,5,33.30344986179077,streaming,50,18260.031960364544
deepseek_single_core,256,4371878.795883885,4379679.741454821,5,25.306439276871217,streaming,50,22945.316415802503
astra_multicore,256,5767280.729176386,5767223.320791756,5,33.323871922035075,streaming,50,12826.54690346454
deepseek_multicore,256,4093500.7423575963,4093373.018279107,5,23.652116556415987,streaming,50,3705.202663547323
fixedlat,256,12118741.16633534,12115780.844289448,5,70.00677910893161,streaming,50,23890.189984672452
md1,256,12094765.58605312,12106128.501411358,5,69.95100643984536,streaming,50,44950.817379398846
wmg1,256,7592974.588794837,7579946.5643177405,5,43.798055742796656,streaming,50,34907.32560051612
mess,256,11364541.390338676,11364853.100306809,5,65.667807203168,streaming,50,14096.625225715123
oracle,16,551705.1311840623,552554.5163094004,5,1.0,streaming,50,2433.4219561612495
astra_single_core,16,5036361.688428414,5039323.702359961,5,9.120047983714633,streaming,50,7482.619630868863
deepseek_single_core,16,3934817.0136721004,3936711.8797789854,5,7.124567374949554,streaming,50,12982.616303207571
astra_multicore,16,4975072.728761893,4984197.531946199,5,9.020281953781588,streaming,50,28005.740843397478
deepseek_multicore,16,3696320.6115909815,3696218.335889143,5,6.689327888543511,streaming,50,9359.806105324296
fixedlat,16,11081704.949360132,11091692.343065592,5,20.07348056287508,streaming,50,31789.27534171216
md1,16,11263013.72298999,11296702.65584508,5,20.444503342941715,streaming,50,82484.98145560449
wmg1,16,6543828.606987856,6559075.750876039,5,11.870459035762028,streaming,50,61143.33469317076
mess,16,9166470.756279105,9167088.361898404,5,16.59037812798427,streaming,50,42822.01492748813
oracle,4,72054.49450119665,71791.10999387036,5,1.0,random,100,860.3591129693976
astra_single_core,4,4904581.5769847715,4937482.636663404,5,68.77568318814092,random,100,77056.60992428641
deepseek_single_core,4,3405503.3788548056,3405245.762845546,5,47.43269414745491,random,100,7231.790585971598
astra_multicore,4,4752231.354297838,4744867.245076992,5,66.09268536845462,random,100,15081.622908127896
deepseek_multicore,4,3257023.1933304355,3257468.5393313863,5,45.37426067948405,random,100,4551.3519410729305
fixedlat,4,2371277.651952358,2372552.4809107017,5,33.04799829830287,random,100,12908.114022222633
md1,4,6048850.721657001,6138791.630580701,5,85.5090780892626,random,100,210659.19807861673
wmg1,4,3809624.2302267775,3814213.49326479,5,53.12932887638113,random,100,8767.760597873588
mess,4,4146145.9335483434,4153495.672296336,5,57.85529256548573,random,100,24350.93246528031
oracle,16,140303.729189169,140226.49278280954,5,1.0,random,50,929.9814372736358
astra_single_core,16,4563387.1190686645,4565842.676709416,5,32.560485441087394,random,50,14259.28138065574
deepseek_single_core,16,3548060.912758403,3550198.5388534497,5,25.317602033676984,random,50,5162.881666048503
astra_multicore,16,4522624.410866843,4518437.33806429,5,32.222422798969184,random,50,8551.400557298046
deepseek_multicore,16,3346250.3665827457,3345545.211238307,5,23.858153654460075,random,50,3836.721205244304
fixedlat,16,11102716.12095568,11105857.250881596,5,79.19942252340971,random,50,7771.648734952462
md1,16,11322221.497580858,11340284.064090993,5,80.87119515750454,random,50,40373.18156787984
wmg1,16,6544804.770106037,6559240.234702839,5,46.776041420804475,random,50,24428.121049497495
mess,16,9125905.981207691,9176817.972469103,5,65.44282603347044,random,50,135686.39585716254
oracle,16,182397.12396430882,183231.00638065644,5,1.0,random,75,1387.9437610115626
astra_single_core,16,4760720.131581156,4770069.235122212,5,26.033089755630925,random,75,29049.328164671333
deepseek_single_core,16,3611801.5328120794,3612652.1450839224,5,19.71637997544343,random,75,7068.3187674469
astra_multicore,16,4656498.743399874,4668839.185234114,5,25.480617486402668,random,75,29869.626942372517
deepseek_multicore,16,3444793.2767023304,3445807.368844586,5,18.805809327303663,random,75,7189.363878139003
fixedlat,16,9123781.592997339,9178531.457509272,5,50.09267611858864,random,75,129280.27943652429
md1,16,9524145.136313878,9530652.56866107,5,52.01440933452851,random,75,35094.07912146987
