arm,pattern,read_percent,interval,admission_wait_max,admission_wait_sum,cpu_seconds,drain_cpu_seconds,drain_simulated_cycles,drain_wall_seconds,input_loading_wall_seconds,measured_reads,measured_reads_completed,measured_simulated_cycles,measured_writes,measured_writes_completed,peak_rss_kib,repeat,requests_per_second,simulated_cycles,total_process_cpu_seconds,total_process_wall_seconds,wall_seconds,warmup_cpu_seconds,warmup_reads_outstanding,warmup_wall_seconds,warmup_writes_outstanding
oracle,streaming,100,4,20399519,51997602187500,61.510298,0.000418,554,0.000420328,0.080720215,5000000,5000000,40000554,0,0,210840,1,81278.8889608881,40800069,62.83,62.84,61.516588919,1.229182,70,1.229232706,0
oracle,streaming,100,4,20399519,51997602187500,61.625798,0.000419,554,0.000420872,0.081042203,5000000,5000000,40000554,0,0,210784,2,81125.6946180792,40800069,62.95,62.96,61.632754253,1.230445,70,1.230473084,0
oracle,streaming,100,4,20399519,51997602187500,61.629864,0.000421,554,0.000422479,0.079946841,5000000,5000000,40000554,0,0,210840,3,81119.20220651834,40800069,62.95,62.97,61.637687058,1.231145,70,1.231164689,0
oracle,streaming,100,4,20399519,51997602187500,61.50642,0.000423,554,0.000424804,0.080412746,5000000,5000000,40000554,0,0,210784,4,81282.0580376032,40800069,62.83,62.84,61.514190471,1.228686,70,1.228722892,0
oracle,streaming,100,4,20399519,51997602187500,61.48155,0.000424,554,0.000425918,0.081437345,5000000,5000000,40000554,0,0,210840,5,81313.19742193534,40800069,62.8,62.82,61.490633237,1.227505,70,1.227522595,0
astra_single_core,streaming,100,4,20399561,51997815000000,0.938736,8e-06,512,8.307e-06,0.092419828,5000000,5000000,40000512,0,0,210840,1,5326024.612972198,40800069,1.06,1.07,0.938786499,0.019227,64,0.019229454,0
astra_single_core,streaming,100,4,20399561,51997815000000,0.936366,7e-06,512,8.292e-06,0.084057512,5000000,5000000,40000512,0,0,210804,2,5339701.241750514,40800069,1.05,1.06,0.936381976,0.018825,64,0.018827036,0
astra_single_core,streaming,100,4,20399561,51997815000000,0.939123,8e-06,512,8.726e-06,0.087677482,5000000,5000000,40000512,0,0,210832,3,5324046.010682475,40800069,1.06,1.06,0.939135385,0.019247,64,0.019249727,0
astra_single_core,streaming,100,4,20399561,51997815000000,0.936143,8e-06,512,8.839e-06,0.098008039,5000000,5000000,40000512,0,0,210788,4,5340951.153327128,40800069,1.06,1.07,0.93616284,0.018962,64,0.018965774,0
astra_single_core,streaming,100,4,20399561,51997815000000,0.932737,7e-06,512,8.554e-06,0.094010979,5000000,5000000,40000512,0,0,210836,5,5360444.05789925,40800069,1.06,1.06,0.932758545,0.018742,64,0.018751082,0
