case,arm,mode,ending,core_abs_pct,signed_pct,instructions,oracle_instructions,cycles,ipc,dram_reads,verification,low_traffic,roi_seconds,total_hours,peak_rss_gib
polybench421_trisolv_large,astra_multicore,SE,roi_end,0.016433074170273815,-0.016433074170273815,14022009,14022009,9716609,1.4430969693233513,229207,array dump retained; compare oracle/FixedLat at printed precision,False,35.230285081000034,0.022695914374457466,0.14260101318359375
parsec-c1-canneal,astra_multicore,FS,roi_end,0.7215306195444068,0.7215306195444068,1774957254,1774917366,8017631619,0.22138174193408275,35967248,roi_and_process_completion,False,9947.519723861,3.6055087427960504,3.239788055419922
gapbs-c1-pr,astra_multicore,FS,roi_end,0.0017971478730537597,0.0017971478730537597,1492383349,1492383349,13307491358,0.11214610694470459,147436536,numerical_verification,False,13999.044480134999,4.785850579473707,3.1322288513183594
polybench421_gesummv_large,deepseek_multicore,SE,roi_end,1.7759876377628652,1.7759876377628652,16609512,16609512,7042019,2.3586292510713194,377488,array dump retained; compare oracle/FixedLat at printed precision,False,50.397999596999966,0.044913516441981,0.14260101318359375
polybench421_mvt_large,astra_single_core,SE,roi_end,0.1586332687869351,-0.1586332687869351,58030014,58030014,27833913,2.084867262465037,965701,array dump retained; compare oracle/FixedLat at printed precision,False,153.516108706,0.08569829735491011,0.14260101318359375
gapbs-c1-sssp,astra_multicore,FS,roi_end,0.05072823694280796,-0.05072823694280796,584868674,584875021,2170235562,0.26949547977225524,27534528,numerical_verification,False,3303.772029445,3.1702182210154004,3.1331100463867188
npb-c1-cg.B.x,astra_multicore,FS,instruction_cap,0.0005344085455835843,0.0005344085455835843,2000000001,2000000001,12211134960,0.16378493952866768,52048973,unavailable: instruction-capped interval,False,13306.189695755998,3.7012040568060347,3.1306076049804688
parsec-c1-blackscholes,astra_single_core,FS,instruction_cap,0.0832450754482847,0.0832450754482847,2000000001,2000000003,690546714,2.8962559091983455,2647698,unavailable: instruction-capped interval,False,4918.143116945999,1.3689692263470756,3.2399673461914062
polybench421_mvt_large,mess,SE,roi_end,1.0957905831368862,-1.0957905831368862,58030013,58030014,27572651,2.104622185222596,965697,array dump retained; compare oracle/FixedLat at printed precision,False,157.94273682799997,0.08630793472131093,0.142578125
polybench421_bicg_large,fixedlat,SE,roi_end,5.454561916867778,-5.454561916867778,41908495,41908495,16394057,2.556322391705726,476554,array dump retained; compare oracle/FixedLat at printed precision,False,125.09186571800001,0.07873868279986912,0.14151763916015625
polybench421_gesummv_large,deepseek_single_core,SE,roi_end,1.7765657446247625,1.7765657446247625,16609512,16609512,7042059,2.3586158536871107,377488,array dump retained; compare oracle/FixedLat at printed precision,False,49.11591292100002,0.04396149244573381,0.142578125
