host,study,cores,measurements,median_wall_s,maximum_wall_s
evaluation-host-01,gem5,1,68,,
evaluation-host-02,gem5,1,67,,
evaluation-host-03,hardware,1,72,143.196153897,350.985019697
evaluation-host-03,hardware,4,24,1192.3515311034998,2435.159890776
evaluation-host-03,hardware,8,24,3579.8047159705,5426.998393162
evaluation-host-04,hardware,1,72,143.5179082675,349.5824010560001
evaluation-host-04,hardware,4,24,1186.90431317,2399.452852027
evaluation-host-04,hardware,8,24,3565.704089582,5457.923026448
evaluation-host-05,hardware,1,72,143.24451213500004,342.654552339
evaluation-host-05,hardware,4,24,1130.783614725,2437.230945403
evaluation-host-05,hardware,8,24,3308.0569990485,5344.82121424
evaluation-host-06,hardware,1,72,142.747761405,341.78366946799997
evaluation-host-06,hardware,4,24,1135.4535554785,2550.9388483149996
evaluation-host-06,hardware,8,24,3500.9197205914998,6044.428745676
evaluation-host-07,hardware,1,72,147.06402070349998,378.56276834700003
evaluation-host-07,hardware,4,24,1187.9618715495,2786.890006048
evaluation-host-07,hardware,8,24,4122.464170352499,7526.683602555
evaluation-host-08,hardware,1,72,151.72137786499997,274.908721432
evaluation-host-08,hardware,4,24,1194.4445173724998,2388.342863907
evaluation-host-08,hardware,8,24,3580.6121934635003,5436.458047536
evaluation-host-09,hardware,1,72,151.339448059,273.8317451180001
evaluation-host-09,hardware,4,24,1192.8707921795,2412.392185742
evaluation-host-09,hardware,8,24,3566.6093621715,5428.626355393
evaluation-host-10,hardware,1,72,152.02355196500002,285.945796182
evaluation-host-10,hardware,4,24,1132.3987741215,2442.419140804
evaluation-host-10,hardware,8,24,3305.01366498,5338.142132928
evaluation-host-11,hardware,1,72,151.22830654950002,274.036153539
evaluation-host-11,hardware,4,24,1132.8260381435002,2559.642761059
evaluation-host-11,hardware,8,24,3501.0914322729996,6077.7469501040005
evaluation-host-12,hardware,1,72,156.67824806699997,283.92257224599996
evaluation-host-12,hardware,4,24,1208.4482995284998,2957.3971582619997
evaluation-host-12,hardware,8,24,3953.5378386549996,5972.825826958
evaluation-host-13,hardware,1,72,147.08187298250002,281.826364705
evaluation-host-13,hardware,4,24,1193.665240261,2387.0429755100004
evaluation-host-13,hardware,8,24,3574.3088578155002,5412.834388064
evaluation-host-14,hardware,1,72,146.33349321600002,283.48345331499996
evaluation-host-14,hardware,4,24,1189.4078602185,2419.142372835
evaluation-host-14,hardware,8,24,3576.9062727550004,5411.671894489001
evaluation-host-15,hardware,1,72,147.151768578,275.229957367
evaluation-host-15,hardware,4,24,1134.079184021,2433.5476654209997
evaluation-host-15,hardware,8,24,3304.4664102435,5354.847808114
evaluation-host-16,hardware,1,72,146.35453019550002,276.390297729
evaluation-host-16,hardware,4,24,1133.212097305,2556.556509308
evaluation-host-16,hardware,8,24,3499.9594914155,6064.168856602
evaluation-host-17,hardware,1,72,150.5695928985,284.54072648600004
evaluation-host-17,hardware,4,24,1196.364745711,3216.155067233
evaluation-host-17,hardware,8,24,4065.6632570629995,7311.394732261
