case,core_order
test-c1-bark,bark
test-c1-biogpt,biogpt
test-c1-cam4,cam4
test-c1-gap_bc,gap_bc
test-c1-gcc,gcc
test-c1-ligra_cf,ligra_cf
test-c1-ligra_radii,ligra_radii
test-c1-pop2,pop2
test-c1-sierra_a_3_0001,sierra_a_3_0001
test-c1-sierra_a_3_0006,sierra_a_3_0006
test-c1-sierra_a_4_0005,sierra_a_4_0005
test-c1-sierra_a_4_0013,sierra_a_4_0013
test-c1-sierra_a_6_0001,sierra_a_6_0001
test-c1-sierra_a_6_0006,sierra_a_6_0006
test-c1-sierra_a_6_0011,sierra_a_6_0011
test-c1-tahoe_0006,tahoe_0006
test-c1-tahoe_0010,tahoe_0010
test-c1-tahoe_0011,tahoe_0011
test-c1-tahoe_0013,tahoe_0013
test-c1-tahoe_0014,tahoe_0014
test-c1-tahoe_0016,tahoe_0016
test-c1-tahoe_0023,tahoe_0023
test-c1-tahoe_0035,tahoe_0035
test-c1-xalancbmk,xalancbmk
test-c4_google_03,"sierra_a_4_0013, sierra_a_3_0006, sierra_a_6_0001, sierra_a_6_0011"
test-c4_google_04,"tahoe_0023, tahoe_0013, tahoe_0011, tahoe_0006"
test-c4_mixed_05,"gcc, sierra_a_4_0005, tahoe_0016, biogpt"
test-c4_mixed_06,"tahoe_0035, sierra_a_6_0006, ligra_radii, cam4"
test-c4_mixed_07,"tahoe_0014, gap_bc, sierra_a_3_0001, bark"
test-c4_mixed_08,"sierra_a_4_0013, tahoe_0010, ligra_cf, xalancbmk"
test-c4_non_google_01,"ligra_radii, gap_bc, biogpt, cam4"
test-c4_non_google_02,"pop2, bark, xalancbmk, ligra_cf"
test-c8-01,"cam4, tahoe_0010, sierra_a_3_0006, sierra_a_4_0005, tahoe_0016, biogpt, sierra_a_6_0011, sierra_a_3_0001"
test-c8-02,"gcc, gap_bc, tahoe_0023, sierra_a_4_0013, pop2, xalancbmk, sierra_a_6_0006, sierra_a_6_0001"
test-c8-03,"tahoe_0013, tahoe_0006, tahoe_0014, ligra_cf, bark, tahoe_0035, ligra_radii, tahoe_0011"
test-c8-04,"sierra_a_3_0001, cam4, sierra_a_4_0013, tahoe_0014, xalancbmk, tahoe_0011, tahoe_0010, pop2"
test-c8-05,"sierra_a_6_0001, tahoe_0035, tahoe_0016, sierra_a_4_0005, gcc, tahoe_0006, sierra_a_3_0006, ligra_radii"
test-c8-06,"bark, gap_bc, sierra_a_3_0001, tahoe_0023, tahoe_0013, sierra_a_6_0011, sierra_a_4_0005, sierra_a_6_0006"
