case,arm,cores,core,program,signed_error_pct
test-c4_mixed_05,md1,4,0,gcc,12.51767257883984
test-c4_mixed_05,md1,4,1,sierra_a_4_0005,-5.326114959242581
test-c4_mixed_05,md1,4,2,tahoe_0016,-3.674912947259679
test-c4_mixed_05,md1,4,3,biogpt,-13.541830220238626
test-c8-06,fixedlat,8,0,bark,-31.14757506875676
test-c8-06,fixedlat,8,1,gap_bc,-41.29692289044057
test-c8-06,fixedlat,8,2,sierra_a_3_0001,-29.189299139522735
test-c8-06,fixedlat,8,3,tahoe_0023,-28.971429950939235
test-c8-06,fixedlat,8,4,tahoe_0013,-34.71308349108442
test-c8-06,fixedlat,8,5,sierra_a_6_0011,-37.74033645522579
test-c8-06,fixedlat,8,6,sierra_a_4_0005,-35.59231691115415
test-c8-06,fixedlat,8,7,sierra_a_6_0006,-29.60732664937237
test-c8-06,wmg1,8,0,bark,-38.16348419490835
test-c8-06,wmg1,8,1,gap_bc,-38.77838801535607
test-c8-06,wmg1,8,2,sierra_a_3_0001,-28.31799170933463
test-c8-06,wmg1,8,3,tahoe_0023,-28.069774116624597
test-c8-06,wmg1,8,4,tahoe_0013,-32.80950215202026
test-c8-06,wmg1,8,5,sierra_a_6_0011,-36.237873354057754
test-c8-06,wmg1,8,6,sierra_a_4_0005,-33.93134030090152
test-c8-06,wmg1,8,7,sierra_a_6_0006,-28.7018030002469
test-c4_google_04,mess,4,0,tahoe_0023,4.061157393851557
test-c4_google_04,mess,4,1,tahoe_0013,4.185997940599511
test-c4_google_04,mess,4,2,tahoe_0011,4.094070382504719
test-c4_google_04,mess,4,3,tahoe_0006,4.16607079033521
test-c4_mixed_07,wmg1,4,0,tahoe_0014,-35.981436479791746
test-c4_mixed_07,wmg1,4,1,gap_bc,-47.11105555261961
test-c4_mixed_07,wmg1,4,2,sierra_a_3_0001,-32.8494301757898
test-c4_mixed_07,wmg1,4,3,bark,-35.03929100778681
test-c4_non_google_02,fixedlat,4,0,pop2,-17.67171491114894
test-c4_non_google_02,fixedlat,4,1,bark,-11.226525871868992
test-c4_non_google_02,fixedlat,4,2,xalancbmk,-4.6653898204554105
test-c4_non_google_02,fixedlat,4,3,ligra_cf,-40.041755931204484
test-c8-03,wmg1,8,0,tahoe_0013,-30.302722065340905
test-c8-03,wmg1,8,1,tahoe_0006,-28.630277918003216
test-c8-03,wmg1,8,2,tahoe_0014,-24.90910601554678
test-c8-03,wmg1,8,3,ligra_cf,-39.991387306394245
test-c8-03,wmg1,8,4,bark,-24.79040898907428
test-c8-03,wmg1,8,5,tahoe_0035,-28.39173444868056
test-c8-03,wmg1,8,6,ligra_radii,-26.83401589269607
test-c8-03,wmg1,8,7,tahoe_0011,-25.703085531608963
test-c4_mixed_05,mess,4,0,gcc,27.56027252094379
test-c4_mixed_05,mess,4,1,sierra_a_4_0005,6.042332577904648
test-c4_mixed_05,mess,4,2,tahoe_0016,5.502861384350355
test-c4_mixed_05,mess,4,3,biogpt,-0.16402041217369714
test-c4_non_google_01,md1,4,0,ligra_radii,-12.697679354728171
test-c4_non_google_01,md1,4,1,gap_bc,-19.68513859185241
test-c4_non_google_01,md1,4,2,biogpt,-30.173958471066506
test-c4_non_google_01,md1,4,3,cam4,-4.92876714429343
test-c8-02,fixedlat,8,0,gcc,-44.37163692553609
test-c8-02,fixedlat,8,1,gap_bc,-48.05626496078509
test-c8-02,fixedlat,8,2,tahoe_0023,-32.794255927112715
test-c8-02,fixedlat,8,3,sierra_a_4_0013,-48.33928571480684
test-c8-02,fixedlat,8,4,pop2,-35.58079992275207
