case,arm,cohort,stage,cores,core_abs_pct,core_signed_pct,worst_core_pct,makespan_signed_pct,makespan_abs_pct,mae_L,drift_L,abs_drift_L,mae_cycles,p99_L,p999_L,p99_cycles,p999_cycles,min_cycles,max_cycles,min_L,max_L,L,pairs,oracle_coverage,model_coverage,address_mismatches,low_traffic,tail_1L_fraction,tail_1L_count,tail_1L_share,tail_5L_fraction,tail_5L_count,tail_5L_share,oracle_recorded_reads,oracle_without_stable_id,oracle_unmatched_reads,oracle_admissions_without_recorded_latency,oracle_admitted_foreground_reads,oracle_total_admitted_reads,model_recorded_reads,model_without_stable_id,model_unmatched_reads,model_admissions_without_recorded_latency,model_admitted_foreground_reads,model_total_admitted_reads
training-c1-arizona,opus_single_core,training,single_core,1,0.02385925301073949,0.02385925301073949,0.02385925301073949,0.02385925301073949,0.02385925301073949,0.15466274567127886,-0.0014118365256624592,0.0014118365256624592,17.533592281668962,4.339108039069648,6.506086344454829,491.9100000000035,737.5730000000185,-834,1206,-7.356663016779615,10.63805227606261,113.36661718740572,79810,0.9631560527617875,0.9631560527617875,0,False,0.033379275779977444,2664,0.7558312538053219,0.006177170780603934,493,0.23540257089689828,82863,2833,3053,0,82863,82863,82863,2833,3053,0,82863,82863
training-c1-bravo,opus_single_core,training,single_core,1,0.02279821779730069,-0.02279821779730069,0.02279821779730069,-0.02279821779730069,0.02279821779730069,0.05158272789509979,0.009571530618412595,0.009571530618412595,7.0884792921424085,0.4802807345223447,1.7022968476687161,66.0,233.92900000012014,-1199,1213,-8.725100010489262,8.826977742054607,137.41962826312243,1032072,0.9079402279193256,0.9079609955907141,0,False,0.0036111821655853468,3727,0.12174737462822013,9.204784162345263e-05,95,0.01126476440579943,1136718,104166,104646,0,1136718,1136718,1136692,104164,104620,0,1136692,1136692
training-c1-cactu,opus_single_core,training,single_core,1,0.07673881145539797,0.07673881145539797,0.07673881145539797,0.07673881145539797,0.07673881145539797,0.044580995857328026,0.01142322415574731,0.01142322415574731,6.013286328917193,0.7043061605231743,1.1906480987376542,95.0,160.60000000007858,-181,242,-1.3418885795231006,1.7941272720695598,134.88452227853847,52761,0.997825100234511,0.997825100234511,0,False,0.0013077841587536248,69,0.041409916568694506,0.0,0,0.0,52876,115,115,0,52876,52876,52876,115,115,0,52876,52876
training-c1-charlie,opus_single_core,training,single_core,1,0.15110350330422656,-0.15110350330422656,0.15110350330422656,-0.15110350330422656,0.15110350330422656,0.2094301516097577,-0.007467435037866337,0.007467435037866337,32.729058222251616,4.415244814850385,5.874195275409643,690.0,918.0,-1516,1092,-9.700740781613309,6.987604837415392,156.27672505932864,105853,0.9587960363036901,0.9587960363036901,0,False,0.05289410786656968,5599,0.7679023827316682,0.004326755028199484,458,0.11689294954003052,110402,4209,4549,0,110402,110402,110402,4209,4549,0,110402,110402
training-c1-gap_bfs,opus_single_core,training,single_core,1,0.21554232939202347,0.21554232939202347,0.21554232939202347,0.21554232939202347,0.21554232939202347,0.06594689828613581,0.012995982645829116,0.012995982645829116,5.72655306779884,1.3934341650464446,5.631316584361251,121.0,489.0,-1101,860,-12.679099303439136,9.903746958181342,86.83582119286342,349534,0.9947662455567161,0.9947662455567161,0,False,0.014150268643393776,4946,0.49651508149628426,0.0017480416783488874,611,0.1598925872728408,351373,1817,1839,0,351373,351373,351373,1817,1839,0,351373,351373
training-c1-gap_sssp,opus_single_core,training,single_core,1,0.09488472195106859,0.09488472195106859,0.09488472195106859,0.09488472195106859,0.09488472195106859,0.07566656297033024,-0.0029771138189040496,0.0029771138189040496,9.636022384389413,1.279952377875817,9.101011079497374,163.0,1159.0,-1689,1621,-13.26281942473776,12.728851561574842,127.34848797305372,376155,0.994503402655499,0.994503402655499,0,False,0.01181959564541213,4446,0.732601159067471,0.0059044808656006165,2221,0.5992077001896465,378234,1588,2079,0,378234,378234,378234,1588,2079,0,378234,378234
training-c1-gms_kstar,opus_single_core,training,single_core,1,0.000474970673953531,-0.000474970673953531,0.000474970673953531,-0.000474970673953531,0.000474970673953531,0.00013869290044413797,-9.186153146300047e-05,9.186153146300047e-05,0.007488087134104833,0.0,0.07408722572815953,0.0,4.0,-12,8,-0.22226167718447856,0.14817445145631905,53.990414146114475,10283,0.9570032573289903,0.9570032573289903,0,False,0.0,0,0.0,0.0,0,0.0,10745,462,462,0,10745,10745,10745,462,462,0,10745,10745
training-c1-gms_maxclique,opus_single_core,training,single_core,1,0.0012762132820954045,-0.0012762132820954045,0.0012762132820954045,-0.0012762132820954045,0.0012762132820954045,0.00015495474407389783,-6.658211659425298e-05,6.658211659425298e-05,0.010659560293137908,0.0,0.05814676771373016,0.0,4.0,-12,12,-0.1744403031411905,0.1744403031411905,68.79144202293264,24016,0.9118384083833245,0.9118384083833245,0,False,0.0,0,0.0,0.0,0,0.0,26338,2322,2322,0,26338,26338,26338,2322,2322,0,26338,26338
training-c1-lbm,opus_single_core,training,single_core,1,0.2950660973702094,0.2950660973702094,0.2950660973702094,0.2950660973702094,0.2950660973702094,0.49438827445185735,-0.004014240149656262,0.004014240149656262,127.94110188351517,2.3262402530422928,3.253645005085732,602.0,842.0,-1826,1234,-7.056004488463832,4.768406100090016,258.7866834531365,921150,0.993756857262144,0.993756857262144,0,False,0.21268305921945393,195913,0.6656620446297541,5.427997611681051e-05,50,0.0006055682307678588,926937,1828,5787,0,926937,926937,926937,1828,5787,0,926937,926937
training-c1-llama7b,opus_single_core,training,single_core,1,0.0008079268262644006,-0.0008079268262644006,0.0008079268262644006,-0.0008079268262644006,0.0008079268262644006,0.00012335348521579445,-1.1959962827009088e-05,1.1959962827009088e-05,0.0059496907957343,0.0,0.0,0.0,0.0,-161,173,-3.337973653014321,3.5867667203197366,48.2328552397682,712474,0.9980346754412875,0.9980346754412875,0,False,3.368543974938033e-05,24,0.835102618542109,0.0,0,0.0,713877,1403,1403,0,713877,713877,713877,1403,1403,0,713877,713877
