case,arm,core_abs_pct,mae_L,p99_L,p999_L,min_cycles,max_cycles,pairs,oracle_coverage,Selection reason
test-c1-ligra_cf,astra_single_core,8.232109703566461,0.27622902470440436,1.3602673284347828,1.6883318017631717,-896,351,316908,0.9544070568323159,largest core error
test-c1-cam4,astra_single_core,0.14072580327889314,0.526847603395589,1.5766869896339026,2.0554571249315363,-1166,727,17860,0.9907910795517586,largest request MAE/L
test-c1-sierra_a_3_0006,astra_single_core,0.30389406400144026,0.29903616989193366,3.7266093665346025,6.813057372652853,-1240,1268,173253,0.9090207929986935,largest P99.9/L below median core error
test-c1-sierra_a_6_0001,astra_single_core,0.7767553709817888,0.21739292305225527,2.387865677956849,5.5588504025507905,-1222,1457,201861,0.8961722190652082,largest absolute request error below both medians
test-c1-ligra_cf,deepseek_single_core,4.70900716418242,0.20141836714231004,1.3442641833943736,1.6883318017631717,-806,236,314985,0.9486157080172385,largest core error
test-c1-cam4,deepseek_single_core,0.3222403837292392,0.5243039319254735,1.378636584736985,2.3326531013750076,-1142,511,17849,0.9901808498835016,largest request MAE/L
test-c1-sierra_a_6_0001,deepseek_single_core,0.052719193264893764,0.21373947354516784,1.732043414292644,4.744369598946812,-1309,467,201747,0.8956661102429322,largest P99.9/L below median core error
test-c1-sierra_a_3_0001,deepseek_single_core,0.2911139718959535,0.20588215265328083,1.8432600522445426,2.6383918394872863,-1073,433,160378,0.8902321915260917,largest absolute request error below both medians
test-c1-ligra_cf,opus_single_core,1.5276872483758819,0.11586272589913002,1.3922736185156013,1.4322814811166242,-756,237,318662,0.9596894415549606,largest core error
test-c1-cam4,opus_single_core,0.31473380167773013,0.5160515066658842,2.1013919584517105,2.8035706667226004,-1524,1101,17877,0.9917341617663376,largest request MAE/L
test-c1-tahoe_0035,opus_single_core,0.025018465120898933,0.056412413422581374,1.273153345561566,6.131084938269241,-2067,2572,254835,0.8997394362218958,largest P99.9/L below median core error
test-c1-biogpt,opus_single_core,0.03569390441143541,0.002615138873419915,0.021640648252411288,0.36789102029099185,-986,913,2883155,0.9978852753208861,largest absolute request error below both medians
test-c1-gap_bc,gemini_single_core,6.645133413800607,0.3252687054376341,2.254730996935846,9.565508949261632,-2971,1695,908670,0.9950546767033223,largest core error
test-c1-cam4,gemini_single_core,2.8206479482657216,0.5819072234919328,1.760179403729307,2.4654343234840685,-1286,367,17867,0.9911794075224676,largest request MAE/L
test-c1-sierra_a_6_0001,gemini_single_core,1.9577194014281478,0.21897586364434768,1.7404513920319287,4.9186669774815375,-1447,437,201823,0.8960035161244495,largest P99.9/L below median core error
test-c1-sierra_a_6_0011,gemini_single_core,0.4109743592166944,0.21679364693361536,1.6878204385453985,2.3123140008071963,-1186,495,251039,0.9253086032959459,largest absolute request error below both medians
