cache_write_1h_tokens,cache_write_1h_tokens_unknown_records,cache_write_5m_tokens,cache_write_5m_tokens_unknown_records,cache_write_input_tokens,cache_write_input_tokens_unknown_records,cached_input_tokens,cached_input_tokens_unknown_records,campaign,campaign_cost_upper_usd,cli_invocations,cost_scope,failed_attempt_records,input_partition_unknown_records,input_tokens,input_tokens_unknown_records,non_reasoning_output_tokens,non_reasoning_output_tokens_unknown_records,observed_cost_lower_usd,observed_cost_upper_usd,output_tokens,output_tokens_unknown_records,phase,provider_requests,provider_requests_with_usage,reasoning_output_tokens,reasoning_output_tokens_unknown_records,reasoning_unknown_records,records,successful_attempt_records,tool_input_tokens,tool_input_tokens_unknown_records,total_tokens,total_tokens_unknown_records,uncached_input_tokens,uncached_input_tokens_unknown_records,unknown_usage_records
,656,,656,0,1,29749120,1,astra,,0,observed subtotal; additional usage unknown,48,0,73067247,1,189963,1,479.00884,479.00884,321569,1,development,655,655,131606,1,1,656,608,0,1,73388816,1,43318127,1,1
,96,,96,0,0,1317632,0,astra,78.877002,0,recorded invocation coverage,0,0,8766799,0,44694,0,78.877002,78.877002,61354,0,review,96,96,16660,0,0,96,96,0,0,8828153,0,7449167,0,0
,75,,75,0,1,3667840,1,astra,,0,observed subtotal; additional usage unknown,3,0,11009875,1,64581,1,81.14279,81.14279,81092,1,reflection,74,74,16511,1,1,75,72,0,1,11090967,1,7342035,1,1
,1145,,1145,0,2,177023360,2,deepseek,,0,observed subtotal; additional usage unknown,136,0,181980107,2,264830,2,4.770887,4.772028,1851903,2,development,1145,1143,1587073,2,2,1145,1009,0,2,183832010,2,4956747,2,2
,49,,49,0,0,5614848,0,deepseek,0.857489,0,recorded invocation coverage,0,0,6514906,0,27205,0,0.85744,0.857489,461465,0,review,49,49,434260,0,0,49,49,0,0,6976371,0,900058,0,0
,22,,22,0,0,2164096,0,deepseek,0.609124,0,recorded invocation coverage,0,0,3838326,0,51851,0,0.609102,0.609124,78216,0,reflection,22,22,26365,0,0,22,22,0,0,3916542,0,1674230,0,0
,32,,32,0,1,130944,1,deepseek,,0,observed subtotal; additional usage unknown,5,0,3295627,1,117270,1,1.738101,1.738132,656605,1,compaction,32,31,539335,1,1,32,27,0,1,3952232,1,3164683,1,1
,1901,,1901,0,0,534679769,53,gemini,63.734343,0,recorded invocation coverage,0,53,559323444,0,432357,0,54.412183,63.734343,1373246,0,development,1901,1901,940889,0,0,1901,1901,0,0,560696690,0,10835801,53,0
,91,,91,0,0,9225762,13,gemini,2.939684,0,recorded invocation coverage,0,13,11300640,0,23871,0,1.918872,2.939684,184413,0,review,91,91,160542,0,0,91,91,0,0,11485053,0,562696,13,0
,25,,25,0,0,4884358,15,gemini,6.663567,0,recorded invocation coverage,1,15,12586916,0,129102,0,1.518538,6.663567,138750,0,reflection,25,25,9648,0,0,25,24,0,0,12725666,0,80325,15,0
8710173.0,0,0.0,0,8710173,0,224489513,0,opus,171.356279,10,recorded invocation coverage,0,0,233204168,0,904432,0,171.356271,171.356279,2837953,0,development,0,0,1933521,0,0,10,10,0,0,236042121,0,4482,0,0
1726216.0,0,0.0,0,1726216,0,4241005,0,opus,16.77642,10,recorded invocation coverage,0,0,5967323,0,42822,0,16.776414,16.77642,105904,0,review,0,0,63082,0,0,10,10,0,0,6073227,0,102,0,0
1405008.0,0,0.0,0,1405008,0,12242395,0,opus,21.734151,10,recorded invocation coverage,0,0,13647709,0,286165,0,21.734142,21.734151,402219,0,reflection,0,0,116054,0,0,10,10,0,0,14049928,0,306,0,0
