cache_write_1h_tokens,cache_write_1h_tokens_unknown_records,cache_write_5m_tokens,cache_write_5m_tokens_unknown_records,cache_write_input_tokens,cache_write_input_tokens_unknown_records,cached_input_tokens,cached_input_tokens_unknown_records,campaign,campaign_cost_upper_usd,cli_invocations,cost_scope,cumulative_campaign_cost_upper_usd,cumulative_observed_cost_lower_usd,cumulative_observed_cost_upper_usd,cumulative_unknown_usage_records,failed_attempt_records,input_partition_unknown_records,input_tokens,input_tokens_unknown_records,non_reasoning_output_tokens,non_reasoning_output_tokens_unknown_records,observed_cost_lower_usd,observed_cost_upper_usd,output_tokens,output_tokens_unknown_records,provider_requests,provider_requests_with_usage,reasoning_output_tokens,reasoning_output_tokens_unknown_records,reasoning_unknown_records,records,round,successful_attempt_records,tool_input_tokens,tool_input_tokens_unknown_records,total_tokens,total_tokens_unknown_records,uncached_input_tokens,uncached_input_tokens_unknown_records,unknown_usage_records
,89,,89,0,0,3526272,0,astra,57.735262,0,recorded invocation coverage,57.735262,57.735262,57.735262,0,0,0,8710536,0,25342,0,57.735262,57.735262,47327,0,89,89,21985,0,0,89,1,89,0,0,8757863,0,5184264,0,0
,75,,75,0,0,2579968,0,astra,50.261578,0,recorded invocation coverage,107.99684,107.99684,107.99684,0,0,0,7169079,0,23597,0,50.261578,50.261578,35810,0,75,75,12213,0,0,75,2,75,0,0,7204889,0,4589111,0,0
,76,,76,0,0,2894720,0,astra,56.33696,0,recorded invocation coverage,164.3338,164.3338,164.3338,0,0,0,8043104,0,26302,0,56.33696,56.33696,39168,0,76,76,12866,0,0,76,3,76,0,0,8082272,0,5148384,0,0
,83,,83,0,0,3575552,0,astra,58.533702,0,recorded invocation coverage,222.867502,222.867502,222.867502,0,0,0,8834682,0,31438,0,58.533702,58.533702,47337,0,83,83,15899,0,0,83,4,83,0,0,8882019,0,5259130,0,0
,97,,97,0,0,5016832,0,astra,70.155852,0,recorded invocation coverage,293.023354,293.023354,293.023354,0,0,0,11310884,0,30103,0,70.155852,70.155852,43970,0,97,97,13867,0,0,97,5,97,0,0,11354854,0,6294052,0,0
,75,,75,0,0,3688192,0,astra,53.408292,0,recorded invocation coverage,346.431646,346.431646,346.431646,0,0,0,8461112,0,26963,0,53.408292,53.408292,39818,0,75,75,12855,0,0,75,6,75,0,0,8500930,0,4772920,0,0
,101,,101,0,0,4856832,0,astra,89.330412,0,recorded invocation coverage,435.762058,435.762058,435.762058,0,0,0,13001145,0,38126,0,89.330412,89.330412,60609,0,101,101,22483,0,0,101,7,101,0,0,13061754,0,8144313,0,0
,80,,80,0,0,3390336,0,astra,69.100906,0,recorded invocation coverage,504.862964,504.862964,504.862964,0,0,0,9737933,0,28583,0,69.100906,69.100906,44692,0,80,80,16109,0,0,80,8,80,0,0,9782625,0,6347597,0,0
,75,,75,0,1,3164288,1,astra,,0,observed subtotal; additional usage unknown,,572.581582,572.581582,1,3,0,9344266,1,32975,1,67.718618,67.718618,55091,1,74,74,22116,1,1,75,9,72,0,1,9399357,1,6179978,1,1
,76,,76,0,1,2041600,1,astra,,0,observed subtotal; additional usage unknown,,639.028632,639.028632,2,48,0,8231180,1,35809,1,66.44705,66.44705,50193,1,75,75,14384,1,1,76,10,28,0,1,8281373,1,6189580,1,1
,140,,140,0,0,20263808,0,deepseek,1.040879,0,recorded invocation coverage,1.040879,1.040739,1.040879,0,0,0,21821768,0,58921,0,1.040739,1.040879,376528,0,140,140,317607,0,0,140,1,140,0,0,22198296,0,1557960,0,0
,85,,85,0,0,11758592,0,deepseek,1.121402,0,recorded invocation coverage,2.162281,2.162056,2.162281,0,0,0,13492460,0,66152,0,1.121317,1.121402,442209,0,85,85,376057,0,0,85,2,85,0,0,13934669,0,1733868,0,0
,151,,151,0,0,22328320,0,deepseek,0.990783,0,recorded invocation coverage,3.153064,3.152688,3.153064,0,0,0,23450633,0,37092,0,0.990632,0.990783,433367,0,151,151,396275,0,0,151,3,151,0,0,23884000,0,1122313,0,0
